# x  y  P(x,y)
    13    13   1.723618276382E-03
    13    14   1.727078272922E-03
    13    15   1.733528266472E-03
    13    16   1.732458267542E-03
    13    17   1.739858260142E-03
    13    18   1.740578259422E-03
    13    19   5.595554404446E-03

    14     0   5.614054385946E-03
    14     1   1.731598268402E-03
    14     2   1.736838263162E-03
    14     3   1.742978257022E-03
    14     4   1.728248271752E-03
    14     5   1.727208272792E-03
    14     6   1.735988264012E-03
    14     7   1.739968260032E-03
    14     8   1.737098262902E-03
    14     9   1.733358266642E-03
    14    10   1.728978271022E-03
    14    11   1.724478275522E-03
    14    12   1.732548267452E-03
    14    13   1.735558264442E-03
    14    14   1.737378262622E-03
    14    15   1.741218258782E-03
    14    16   1.735518264482E-03
    14    17   1.727178272822E-03
    14    18   1.729328270672E-03
    14    19   5.565884434116E-03

    15     0   5.640284359716E-03
    15     1   1.715018284982E-03
    15     2   1.722918277082E-03
    15     3   1.736198263802E-03
    15     4   1.738628261372E-03
    15     5   1.739788260212E-03
    15     6   1.743238256762E-03
    15     7   1.736738263262E-03
    15     8   1.730088269912E-03
    15     9   1.722418277582E-03
    15    10   1.726458273542E-03
    15    11   1.737018262982E-03
    15    12   1.740928259072E-03
    15    13   1.743008256992E-03
    15    14   1.739298260702E-03
    15    15   1.737898262102E-03
    15    16   1.745138254862E-03
    15    17   1.741598258402E-03
    15    18   1.728058271942E-03
    15    19   5.567084432916E-03

    16     0   5.578214421786E-03
    16     1   1.711348288652E-03
    16     2   1.715498284502E-03
    16     3   1.713358286642E-03
    16     4   1.724328275672E-03
    16     5   1.739268260732E-03
    16     6   1.747198252802E-03
    16     7   1.737958262042E-03
    16     8   1.718478281522E-03
    16     9   1.715318284682E-03
    16    10   1.724408275592E-03
    16    11   1.734628265372E-03
    16    12   1.733898266102E-03
    16    13   1.734228265772E-03
    16    14   1.738238261762E-03
    16    15   1.746508253492E-03
    16    16   1.754958245042E-03
    16    17   1.757818242182E-03
    16    18   1.744468255532E-03
    16    19   5.621524378476E-03

    17     0   5.588084411916E-03
    17     1   1.714098285902E-03
    17     2   1.716038283962E-03
    17     3   1.706998293002E-03
    17     4   1.717188282812E-03
    17     5   1.731458268542E-03
    17     6   1.731408268592E-03
    17     7   1.725168274832E-03
    17     8   1.721878278122E-03
    17     9   1.734478265522E-03
    17    10   1.748258251742E-03
    17    11   1.742988257012E-03
    17    12   1.727318272682E-03
    17    13   1.720118279882E-03
    17    14   1.738558261442E-03
    17    15   1.750098249902E-03
    17    16   1.753288246712E-03
    17    17   1.742578257422E-03
    17    18   1.735998264002E-03
    17    19   5.616184383816E-03

    18     0   5.596424403576E-03
    18     1   1.723508276492E-03
    18     2   1.717568282432E-03
    18     3   1.709328290672E-03
    18     4   1.724358275642E-03
    18     5   1.727998272002E-03
    18     6   1.721518278482E-03
    18     7   1.718278281722E-03
    18     8   1.726898273102E-03
    18     9   1.734488265512E-03
    18    10   1.749718250282E-03
    18    11   1.736928263072E-03
    18    12   1.711468288532E-03
    18    13   1.707588292412E-03
    18    14   1.729258270742E-03
