# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
17 22.5166604984 1.7027168825038950e-03
19 22.5166604984 1.6263379733738074e-03
21 22.5166604984 1.5071939880193460e-03
23 22.5166604984 1.3561270171699408e-03
25 22.5166604984 1.1858612841947403e-03
27 22.5166604984 1.0092132070683541e-03
29 22.5166604984 8.3753443964644980e-04
31 22.5166604984 6.7965502759444207e-04
33 22.5166604984 5.4144430826648035e-04
35 22.5166604984 4.2594962588480602e-04
37 22.5166604984 3.3395431197269699e-04
39 22.5166604984 2.6474445602620706e-04
41 22.5166604984 2.1688925653715987e-04
43 22.5166604984 1.8889940336696463e-04
45 22.5166604984 1.7969889108581316e-04
47 22.5166604984 1.8889940336696428e-04
49 22.5166604984 2.1688925653715705e-04
51 22.5166604984 2.6474445602620787e-04
53 22.5166604984 3.3395431197269482e-04
55 22.5166604984 4.2594962588480824e-04
57 22.5166604984 5.4144430826647385e-04
59 22.5166604984 6.7965502759443177e-04
61 22.5166604984 8.3753443964644102e-04
63 22.5166604984 1.0092132070683439e-03
65 22.5166604984 1.1858612841947468e-03
67 22.5166604984 1.3561270171699366e-03
69 22.5166604984 1.5071939880193415e-03
71 22.5166604984 1.6263379733738035e-03

14 24.248711306 1.7612630654486217e-03
16 24.248711306 1.7612630654486210e-03
18 24.248711306 1.7060738065560093e-03
20 24.248711306 1.6011481116510070e-03
22 24.248711306 1.4564941943648725e-03
24 24.248711306 1.2850836402553149e-03
26 24.248711306 1.1009156013058112e-03
28 24.248711306 9.1714210130753855e-04
30 24.248711306 7.4460850049605412e-04
32 24.248711306 5.9102808664141622e-04
34 24.248711306 4.6083619076094887e-04
36 24.248711306 3.5561160561143571e-04
38 24.248711306 2.7485465425990867e-04
40 24.248711306 2.1688925653716535e-04
42 24.248711306 1.7969889108581261e-04
44 24.248711306 1.6158162573196128e-04
46 24.248711306 1.6158162573196112e-04
48 24.248711306 1.7969889108581481e-04
50 24.248711306 2.1688925653716009e-04
52 24.248711306 2.7485465425990910e-04
54 24.248711306 3.5561160561143435e-04
56 24.248711306 4.6083619076094009e-04
58 24.248711306 5.9102808664140559e-04
60 24.248711306 7.4460850049604382e-04
62 24.248711306 9.1714210130752760e-04
64 24.248711306 1.1009156013058175e-03
66 24.248711306 1.2850836402553060e-03
68 24.248711306 1.4564941943648678e-03
70 24.248711306 1.6011481116510026e-03
72 24.248711306 1.7060738065560060e-03

15 25.9807621135 1.7819968444334274e-03
17 25.9807621135 1.7534967353548790e-03
19 25.9807621135 1.6708532066940787e-03
21 25.9807621135 1.5421618509202535e-03
23 25.9807621135 1.3794403277036427e-03
25 25.9807621135 1.1967637126752578e-03
27 25.9807621135 1.0082533763543136e-03
29 25.9807621135 8.2632257868280891e-04
31 25.9807621135 6.6048270076780294e-04
33 25.9807621135 5.1684900246507610e-04
35 25.9807621135 3.9830765940017398e-04
37 25.9807621135 3.0516925436905169e-04
39 25.9807621135 2.3607058469127967e-04
41 25.9807621135 1.8889940336696556e-04
43 25.9807621135 1.6158162573196133e-04
45 25.9807621135 1.5265073145135388e-04
47 25.9807621135 1.6158162573196003e-04
49 25.9807621135 1.8889940336696461e-04
51 25.9807621135 2.3607058469127872e-04
53 25.9807621135 3.0516925436905223e-04
55 25.9807621135 3.9830765940017729e-04
57 25.9807621135 5.1684900246506895e-04
59 25.9807621135 6.6048270076779828e-04
61 25.9807621135 8.2632257868280685e-04
63 25.9807621135 1.0082533763543155e-03
65 25.9807621135 1.1967637126752612e-03
67 25.9807621135 1.3794403277036414e-03
69 25.9807621135 1.5421618509202531e-03
71 25.9807621135 1.6708532066940774e-03
73 25.9807621135 1.7534967353548781e-03

16 27.7128129211 1.7612630654486212e-03
18 27.7128129211 1.7060738065560073e-03
20 27.7128129211 1.6011481116510035e-03
22 27.7128129211 1.4564941943648671e-03
24 27.7128129211 1.2850836402553058e-03
26 27.7128129211 1.1009156013058127e-03
28 27.7128129211 9.1714210130753768e-04
30 27.7128129211 7.4460850049605347e-04
32 27.7128129211 5.9102808664141481e-04
34 27.7128129211 4.6083619076093684e-04
36 27.7128129211 3.5561160561143414e-04
38 27.7128129211 2.7485465425990916e-04
40 27.7128129211 2.1688925653715882e-04
42 27.7128129211 1.7969889108581494e-04
44 27.7128129211 1.6158162573195914e-04
46 27.7128129211 1.6158162573196009e-04
48 27.7128129211 1.7969889108581402e-04
50 27.7128129211 2.1688925653715808e-04
52 27.7128129211 2.7485465425990845e-04
54 27.7128129211 3.5561160561143679e-04
56 27.7128129211 4.6083619076094025e-04
58 27.7128129211 5.9102808664141025e-04
60 27.7128129211 7.4460850049605130e-04
62 27.7128129211 9.1714210130753617e-04
64 27.7128129211 1.1009156013058134e-03
66 27.7128129211 1.2850836402553047e-03
68 27.7128129211 1.4564941943648662e-03
70 27.7128129211 1.6011481116510052e-03
72 27.7128129211 1.7060738065560060e-03
74 27.7128129211 1.7612630654486204e-03

17 29.4448637287 1.7027168825038963e-03
19 29.4448637287 1.6263379733738074e-03
21 29.4448637287 1.5071939880193423e-03
23 29.4448637287 1.3561270171699371e-03
25 29.4448637287 1.1858612841947423e-03
27 29.4448637287 1.0092132070683535e-03
29 29.4448637287 8.3753443964645067e-04
31 29.4448637287 6.7965502759444077e-04
33 29.4448637287 5.4144430826648209e-04
35 29.4448637287 4.2594962588480602e-04
37 29.4448637287 3.3395431197269477e-04
39 29.4448637287 2.6474445602620771e-04
41 29.4448637287 2.1688925653715806e-04
43 29.4448637287 1.8889940336696550e-04
45 29.4448637287 1.7969889108581297e-04
47 29.4448637287 1.8889940336696398e-04
49 29.4448637287 2.1688925653715732e-04
51 29.4448637287 2.6474445602620678e-04
53 29.4448637287 3.3395431197269564e-04
55 29.4448637287 4.2594962588480846e-04
57 29.4448637287 5.4144430826647450e-04
59 29.4448637287 6.7965502759443621e-04
61 29.4448637287 8.3753443964644850e-04
63 29.4448637287 1.0092132070683546e-03
65 29.4448637287 1.1858612841947431e-03
67 29.4448637287 1.3561270171699336e-03
69 29.4448637287 1.5071939880193417e-03
71 29.4448637287 1.6263379733738059e-03
73 29.4448637287 1.7027168825038959e-03
75 29.4448637287 1.7290344123983125e-03

18 31.1769145362 1.6166453486646068e-03
20 31.1769145362 1.5273280840353825e-03
22 31.1769145362 1.4035833977140060e-03
24 31.1769145362 1.2558690180608841e-03
26 31.1769145362 1.0955422063995478e-03
28 31.1769145362 9.3340332901044429e-04
30 31.1769145362 7.7857127640042364e-04
32 31.1769145362 6.3785104495882197e-04
34 31.1769145362 5.1561511743102235e-04
36 31.1769145362 4.1410044841241986e-04
38 31.1769145362 3.3395431197269520e-04
40 31.1769145362 2.7485465425990834e-04
42 31.1769145362 2.3607058469127864e-04
44 31.1769145362 2.1688925653715464e-04
46 31.1769145362 2.1688925653715507e-04
48 31.1769145362 2.3607058469127853e-04
50 31.1769145362 2.7485465425990802e-04
52 31.1769145362 3.3395431197269509e-04
54 31.1769145362 4.1410044841242176e-04
56 31.1769145362 5.1561511743102614e-04
58 31.1769145362 6.3785104495881731e-04
60 31.1769145362 7.7857127640042136e-04
62 31.1769145362 9.3340332901044158e-04
64 31.1769145362 1.0955422063995486e-03
66 31.1769145362 1.2558690180608828e-03
68 31.1769145362 1.4035833977140051e-03
70 31.1769145362 1.5273280840353840e-03
72 31.1769145362 1.6166453486646053e-03
74 31.1769145362 1.6634919501402252e-03
76 31.1769145362 1.6634919501402267e-03

19 32.9089653438 1.5180802172252590e-03
21 32.9089653438 1.4254518890571618e-03
23 32.9089653438 1.3067278181068012e-03
25 32.9089653438 1.1708502620255759e-03
27 32.9089653438 1.0269721864104599e-03
29 32.9089653438 8.8345671597274866e-04
31 32.9089653438 7.4721306814484712e-04
33 32.9089653438 6.2342395511748988e-04
35 32.9089653438 5.1561511743102321e-04
37 32.9089653438 4.2594962588480602e-04
39 32.9089653438 3.5561160561143468e-04
41 32.9089653438 3.0516925436905148e-04
43 32.9089653438 2.7485465425990780e-04
45 32.9089653438 2.6474445602620451e-04
47 32.9089653438 2.7485465425990639e-04
49 32.9089653438 3.0516925436905148e-04
51 32.9089653438 3.5561160561143560e-04
53 32.9089653438 4.2594962588480726e-04
55 32.9089653438 5.1561511743102723e-04
57 32.9089653438 6.2342395511748500e-04
59 32.9089653438 7.4721306814483964e-04
61 32.9089653438 8.8345671597274389e-04
63 32.9089653438 1.0269721864104586e-03
65 32.9089653438 1.1708502620255748e-03
67 32.9089653438 1.3067278181068008e-03
69 32.9089653438 1.4254518890571615e-03
71 32.9089653438 1.5180802172252569e-03
73 32.9089653438 1.5770544785003243e-03
75 32.9089653438 1.5973074835010489e-03
77 32.9089653438 1.5770544785003253e-03

20 34.6410161514 1.4241000814888716e-03
22 34.6410161514 1.3376182213985909e-03
24 34.6410161514 1.2320639895626593e-03
26 34.6410161514 1.1140191860113144e-03
28 34.6410161514 9.9001609741714079e-04
30 34.6410161514 8.6602952026732698e-04
32 34.6410161514 7.4721306814484799e-04
34 34.6410161514 6.3785104495881590e-04
36 34.6410161514 5.4144430826647634e-04
38 34.6410161514 4.6083619076094242e-04
40 34.6410161514 3.9830765940017913e-04
42 34.6410161514 3.5561160561143891e-04
44 34.6410161514 3.3395431197269119e-04
46 34.6410161514 3.3395431197269152e-04
48 34.6410161514 3.5561160561143235e-04
50 34.6410161514 3.9830765940017615e-04
52 34.6410161514 4.6083619076093971e-04
54 34.6410161514 5.4144430826647656e-04
56 34.6410161514 6.3785104495881623e-04
58 34.6410161514 7.4721306814484148e-04
60 34.6410161514 8.6602952026732243e-04
62 34.6410161514 9.9001609741713689e-04
64 34.6410161514 1.1140191860113118e-03
66 34.6410161514 1.2320639895626582e-03
68 34.6410161514 1.3376182213985907e-03
70 34.6410161514 1.4241000814888731e-03
72 34.6410161514 1.4855793103101776e-03
74 34.6410161514 1.5175416064827536e-03
76 34.6410161514 1.5175416064827532e-03
78 34.6410161514 1.4855793103101778e-03

21 36.3730669589 1.3508536734907776e-03
23 36.3730669589 1.2783658084374121e-03
25 36.3730669589 1.1915001862018413e-03
27 36.3730669589 1.0940582214305984e-03
29 36.3730669589 9.9001609741713992e-04
31 36.3730669589 8.8345671597274715e-04
33 36.3730669589 7.7857127640042515e-04
35 36.3730669589 6.7965502759443480e-04
37 36.3730669589 5.9102808664140917e-04
39 36.3730669589 5.1684900246507122e-04
41 36.3730669589 4.6083619076094085e-04
43 36.3730669589 4.2594962588480770e-04
45 36.3730669589 4.1410044841241726e-04
47 36.3730669589 4.2594962588480108e-04
49 36.3730669589 4.6083619076093456e-04
51 36.3730669589 5.1684900246506786e-04
53 36.3730669589 5.9102808664140754e-04
55 36.3730669589 6.7965502759443535e-04
57 36.3730669589 7.7857127640041811e-04
59 36.3730669589 8.8345671597274238e-04
61 36.3730669589 9.9001609741713689e-04
63 36.3730669589 1.0940582214305958e-03
65 36.3730669589 1.1915001862018407e-03
67 36.3730669589 1.2783658084374104e-03
69 36.3730669589 1.3508536734907759e-03
71 36.3730669589 1.4055191614444165e-03
73 36.3730669589 1.4395577605904716e-03
75 36.3730669589 1.4511198649594672e-03
77 36.3730669589 1.4395577605904712e-03
79 36.3730669589 1.4055191614444171e-03

22 38.1051177665 1.3108346420775429e-03
24 38.1051177665 1.2574685269208978e-03
26 38.1051177665 1.1915001862018381e-03
28 38.1051177665 1.1140191860113103e-03
30 38.1051177665 1.0269721864104571e-03
32 38.1051177665 9.3340332901044396e-04
34 38.1051177665 8.3753443964644384e-04
