# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
64 10.3923048454 1.3360200000000000e-03

7 12.124355653 1.3094300000000001e-03
9 12.124355653 1.3373100000000000e-03
11 12.124355653 1.3381000000000001e-03
13 12.124355653 1.3560800000000000e-03
15 12.124355653 1.3494300000000000e-03
17 12.124355653 1.3478699999999999e-03
19 12.124355653 1.3421200000000000e-03
21 12.124355653 1.3351999999999999e-03
23 12.124355653 1.3077099999999999e-03
25 12.124355653 1.2784199999999999e-03
27 12.124355653 1.2327600000000001e-03
29 12.124355653 1.1666700000000001e-03
31 12.124355653 1.0905600000000000e-03
33 12.124355653 1.0075600000000000e-03
35 12.124355653 9.1887000000000002e-04
37 12.124355653 8.2359000000000002e-04
39 12.124355653 7.4750000000000001e-04
41 12.124355653 6.8391000000000003e-04
43 12.124355653 6.3557000000000002e-04
45 12.124355653 6.1525999999999996e-04
47 12.124355653 6.3383000000000005e-04
49 12.124355653 6.8663999999999997e-04
51 12.124355653 7.4403000000000002e-04
53 12.124355653 8.2770999999999995e-04
55 12.124355653 9.1728000000000003e-04
57 12.124355653 1.0099200000000001e-03
59 12.124355653 1.0955600000000000e-03
61 12.124355653 1.1729600000000000e-03
63 12.124355653 1.2330300000000000e-03
65 12.124355653 1.2800000000000001e-03

8 13.8564064606 1.3103500000000001e-03
10 13.8564064606 1.3517900000000001e-03
12 13.8564064606 1.3811800000000001e-03
14 13.8564064606 1.3882199999999999e-03
16 13.8564064606 1.3893099999999999e-03
18 13.8564064606 1.3771400000000000e-03
20 13.8564064606 1.3504700000000001e-03
22 13.8564064606 1.3145699999999999e-03
24 13.8564064606 1.2568200000000001e-03
26 13.8564064606 1.1877100000000000e-03
28 13.8564064606 1.1139200000000000e-03
30 13.8564064606 1.0241800000000000e-03
32 13.8564064606 9.3110000000000003e-04
34 13.8564064606 8.4175999999999999e-04
36 13.8564064606 7.4795000000000005e-04
38 13.8564064606 6.6036000000000003e-04
40 13.8564064606 5.8772999999999996e-04
42 13.8564064606 5.4169000000000005e-04
44 13.8564064606 5.1791999999999995e-04
46 13.8564064606 5.1740000000000000e-04
48 13.8564064606 5.4301000000000002e-04
50 13.8564064606 5.8828000000000005e-04
52 13.8564064606 6.6102999999999995e-04
54 13.8564064606 7.3977999999999999e-04
56 13.8564064606 8.3359000000000005e-04
58 13.8564064606 9.3566999999999999e-04
60 13.8564064606 1.0291100000000000e-03
62 13.8564064606 1.1176000000000001e-03
64 13.8564064606 1.1949899999999999e-03
66 13.8564064606 1.2603800000000000e-03

9 15.5884572681 1.3480899999999999e-03
11 15.5884572681 1.4077499999999999e-03
13 15.5884572681 1.4335699999999999e-03
